id,latitude,longitude,crime_type,date,severity
1533,-12.049981,-77.007117,Homicidio,2024-07-30 15:24:29.291+00,3
1534,-12.093099,-77.034001,Robo,2024-08-05 15:24:29.291+00,2
1535,-12.074383,-77.008014,Asalto,2024-04-13 15:24:29.291+00,5
1536,-12.094566,-77.070903,Homicidio,2023-11-24 15:24:29.291+00,1
1537,-12.062237,-77.015824,Agresión Sexual,2024-06-19 15:24:29.291+00,1
1538,-12.027751,-77.075724,Robo,2023-12-06 15:24:29.291+00,10
1539,-12.098635,-77.037861,Robo,2023-10-02 15:24:29.291+00,3
1540,-12.089033,-77.097033,Secuestro,2024-03-29 15:24:29.291+00,7
1541,-12.011872,-77.007336,Secuestro,2024-05-15 15:24:29.291+00,6
1542,-12.027374,-77.050533,Secuestro,2024-06-18 15:24:29.291+00,7
1543,-12.062754,-77.080447,Robo,2024-03-18 15:24:29.291+00,8
1544,-12.030253,-77.002489,Robo,2024-06-02 15:24:29.291+00,9
1545,-12.003799,-77.077101,Homicidio,2023-11-06 15:24:29.291+00,5
1546,-12.052912,-77.079803,Robo,2023-09-23 15:24:29.291+00,2
1547,-12.048132,-77.025676,Robo,2024-08-23 15:24:29.291+00,1
1548,-12.083002,-77.018187,Agresión Sexual,2023-10-11 15:24:29.291+00,6
1549,-12.092550,-77.080933,Secuestro,2023-11-03 15:24:29.291+00,2
1550,-12.041984,-77.094572,Robo,2024-01-23 15:24:29.291+00,7
1551,-12.053532,-77.007654,Asalto,2024-02-24 15:24:29.291+00,7
1552,-12.091567,-77.068981,Secuestro,2024-04-04 15:24:29.291+00,9
1553,-12.046828,-77.022216,Asalto,2023-12-29 15:24:29.291+00,4
1554,-12.056856,-77.039162,Asalto,2024-01-08 15:24:29.291+00,10
1555,-12.045021,-77.001253,Agresión Sexual,2024-07-23 15:24:29.291+00,8
1556,-12.033629,-77.073669,Agresión Sexual,2023-11-02 15:24:29.291+00,7
1557,-12.042846,-77.073818,Robo,2024-06-29 15:24:29.291+00,1
1558,-12.083340,-77.004112,Robo,2023-10-05 15:24:29.291+00,9
1559,-12.064538,-77.087019,Robo,2023-10-08 15:24:29.291+00,9
1560,-12.026331,-77.077024,Asalto,2024-02-12 15:24:29.291+00,4
1561,-12.064874,-77.076005,Secuestro,2023-09-25 15:24:29.291+00,8
1562,-12.044102,-77.074144,Asalto,2023-10-28 15:24:29.291+00,10
1563,-12.059165,-77.001201,Robo,2024-02-19 15:24:29.291+00,3
1564,-12.052329,-77.099595,Secuestro,2024-07-05 15:24:29.291+00,5
1565,-12.095532,-77.012353,Robo,2024-06-26 15:24:29.291+00,9
1566,-12.084023,-77.041825,Robo,2023-11-18 15:24:29.291+00,9
1567,-12.099048,-77.030207,Robo,2024-07-20 15:24:29.291+00,6
1568,-12.072963,-77.069623,Robo,2023-11-16 15:24:29.291+00,1
1569,-12.028915,-77.003349,Homicidio,2024-04-22 15:24:29.291+00,5
1570,-12.004721,-77.021144,Agresión Sexual,2024-05-04 15:24:29.291+00,8
1571,-12.078094,-77.036112,Robo,2024-08-21 15:24:29.291+00,1
1572,-12.045751,-77.083454,Robo,2023-10-11 15:24:29.291+00,1
1573,-12.023735,-77.060984,Robo,2024-02-04 15:24:29.291+00,5
1574,-12.079141,-77.036510,Robo,2023-12-16 15:24:29.291+00,1
